window,threshold,maturity,signal,direction,horizon,correct_sign,n,mean_bps,std_pp,t_stat,t_pvalue,sign_p,wilcoxon_p,cohen_d,ci_low_bps,ci_high_bps,boot_low_bps,boot_high_bps,t_p_bh,sig_bh
30,2.5,10y,z<-2.5,negative,10,True,22,4.959090909090896,0.06365132631761371,3.6543147645236784,0.0014802213650913615,4.76837158203125e-07,4.76837158203125e-07,0.7791025255853321,2.1369492009031608,7.78123261727863,2.885681818181815,7.934886363636353,0.005212953503147839,True
30,2.5,10y,z<-2.5,negative,20,True,22,5.85454545454546,0.07867699323226109,3.4902518688706974,0.0021819265241887317,0.004343509674072266,0.00017690658569335938,0.7441241987047408,2.366202996956708,9.342887912134211,3.0770454545454675,9.487500000000008,0.0064370474354448915,True
30,2.5,10y,z>+2.5,positive,5,True,21,-4.747619047619043,0.08228099358151855,-2.644149360565718,0.015563146014421929,0.007197380065917969,0.0013742446899414062,-0.5770006949314993,-8.493004971187876,-1.0022331240502107,-8.7147619047619,-1.696785714285715,0.029316623887632003,True
30,2.5,10y,z>+2.5,positive,10,True,21,-4.909523809523806,0.07545257103764239,-2.9817757266490874,0.007371985219826468,0.0783538818359375,0.0011758804321289062,-0.650676808226257,-8.344083665458006,-1.4749639535896073,-8.286428571428567,-2.2711904761904744,0.01682058599453363,True
30,2.5,10y,z>+2.5,positive,20,True,21,-5.690476190476184,0.07274538113303465,-3.5847001523728528,0.0018530250275555892,0.0014896392822265625,4.100799560546875e-05,-0.7822457043794444,-9.001806239382105,-2.3791461415702613,-8.957380952380946,-3.134404761904757,0.006221007111631975,True
60,1.5,2y,z<-1.5,negative,5,True,63,1.1777777777777887,0.03939233773719749,2.3731318921617386,0.020751998138923842,0.04295654552438921,0.0038213228459755867,0.29898651500076723,0.18569459902616717,2.1698609565294102,0.18527777777778545,2.1183730158730327,0.03430432345413941,True
60,1.5,2y,z<-1.5,negative,10,True,63,1.5587301587301663,0.04215778155722777,2.9346983228645795,0.004676685684826057,0.011141407415305074,0.00598242715790807,0.3697372350141913,0.49700017927486445,2.620460138185468,0.5275000000000026,2.5390079365079425,0.012219727111964859,True
60,1.5,2y,z<-1.5,negative,20,True,63,1.2857142857143031,0.05248682081672512,1.944305372749381,0.05639920758486787,0.07692583360960925,0.11534682677884013,0.24495945186007634,-0.036149178846050546,2.6075777502746567,-0.020119047619032448,2.596150793650816,0.06921720930870148,False
60,1.5,2y,z>+1.5,positive,5,True,68,-12.908823529411764,0.45796264382928437,-2.3244010677021003,0.02314399484718226,0.0001942977864148144,2.2200694849360305e-05,-0.28187503289512433,-23.993881079663424,-1.8237659791601037,-24.362500000000008,-4.055404411764707,0.03720984256365995,True
60,1.5,2y,z>+1.5,positive,10,True,68,-15.964705882352936,0.4981823608058459,-2.6425732347642903,0.01023367914231452,0.00013083876154198454,1.648644862216997e-05,-0.32045907559892073,-28.023287983891386,-3.906123780814483,-29.054080882352938,-5.069816176470584,0.020985519253860156,True
