ICE BofA US Bond Market Option Volatility Estimate Index | Price History                                          16-Apr-2026 00:57,,,,,,,
,,,,,,,
,,,,,,,
.MOVE,,,,,,,
Interval: Daily,,,,,,,
History Period: 01-Jan-2019 - 13-Apr-2026,,,,,,,
,,,,,,,
,,,,,,,
.MOVE Statistics     Daily     02-Jan-2019 - 13-Apr-2026,,,,,,,
Price,,,Up/Down,,Price Change (Close-Close),,
High,198.71,16-Mar-2023,Up,870,Up,+45.06%,06-Oct-2020
Low,36.62,30-Sep-2020,Down,946,Down,-25.84%,04-Nov-2020
Avg (Close),87.55,,Unch,8,Period,+18.49%,02-Jan-2019 - 13-Apr-2026
Avg (High-Low),117.67,,,,,,
,,,,,,,
,,,,,,,
.MOVE History     Daily     02-Jan-2019 - 13-Apr-2026,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,
30-Jun-2023,110.64,-2.81,-2.48%,113.45,110.64,113.45,
29-Jun-2023,113.45,+5.15,+4.76%,108.30,108.30,113.45,
28-Jun-2023,108.30,-2.55,-2.30%,110.85,108.30,110.85,
27-Jun-2023,110.85,+1.83,+1.68%,109.02,109.02,110.85,
26-Jun-2023,109.02,+3.28,+3.10%,105.74,105.74,109.02,
23-Jun-2023,105.74,-1.96,-1.82%,107.70,105.74,107.70,
22-Jun-2023,107.70,-3.14,-2.83%,110.84,107.70,110.84,
21-Jun-2023,110.84,-3.35,-2.93%,114.19,110.84,114.19,
20-Jun-2023,114.19,+9.76,+9.35%,104.43,104.43,114.19,
16-Jun-2023,104.43,-2.91,-2.71%,107.34,104.43,107.34,
15-Jun-2023,107.34,-7.03,-6.15%,114.37,107.34,114.37,
14-Jun-2023,114.37,-4.43,-3.73%,118.80,114.37,118.80,
13-Jun-2023,118.80,-1.00,-0.83%,119.80,118.80,119.80,
12-Jun-2023,119.80,+4.03,+3.48%,115.77,115.77,119.80,
09-Jun-2023,115.77,+0.66,+0.57%,115.11,115.11,115.77,
08-Jun-2023,115.11,-5.39,-4.47%,120.50,115.11,120.50,
07-Jun-2023,120.50,+6.08,+5.31%,114.42,114.42,120.50,
06-Jun-2023,114.42,-4.66,-3.91%,119.08,114.42,119.08,
05-Jun-2023,119.08,-1.87,-1.55%,120.95,119.08,120.95,
02-Jun-2023,120.95,-3.68,-2.95%,124.63,120.95,124.63,
01-Jun-2023,124.63,-11.39,-8.37%,136.02,124.63,136.02,
31-May-2023,136.02,-5.34,-3.78%,141.36,136.02,141.36,
30-May-2023,141.36,-4.01,-2.76%,145.37,141.36,145.37,
26-May-2023,145.37,+5.83,+4.18%,139.54,139.54,145.37,
25-May-2023,139.54,+7.25,+5.48%,132.29,132.29,139.54,
24-May-2023,132.29,+0.59,+0.45%,131.70,131.70,132.29,
23-May-2023,131.70,-0.59,-0.45%,132.29,131.70,132.29,
